Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Mathias Jensen,DEN,MF,Brentford,28,1996,29,25,"2,023",22.5,3,3,6,3,0,0,3,0,0.6,0.6,3.5,4.1,18,111,59,0.13,0.13,0.27,0.13,0.27,0.03,0.16,0.18,0.03,0.18,0,0,24,17,1,107,20,29,1,0,0,110,5,10,33.3,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",70,66.1,77,4,4,27,0,1.1,34,40,-6,-0.27,-0.18,32.4,33.1,-0.7,-0.03,-0.5
Gabriel Jesus,BRA,FW,Arsenal,27,1997,24,17,"1,451",16.1,4,4,8,4,0,0,6,0,6.3,6.3,3.6,9.9,35,40,143,0.25,0.25,0.5,0.25,0.5,0.39,0.22,0.62,0.39,0.62,0,0,26,30,15,9,12,16,1,0,0,56,15,37,28.8,"£ 265,000 (€ 307,926, $328,294)","£ 13,780,000 (€ 16,012,151, $17,071,265)",60,47.4,78,4,7,19,2,2.08,27,11,16,0.99,-1.24,30,11.4,18.6,1.15,-0.23
Raúl Jiménez,MEX,FW,Fulham,32,1991,22,17,"1,279",14.2,5,0,5,5,0,0,3,1,4.5,4.5,1.4,5.9,10,19,77,0.35,0,0.35,0.35,0.35,0.32,0.1,0.41,0.32,0.41,1,0,16,19,12,5,3,11,0,0,0,43,42,58,42,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",58,41.8,70,4,5,17,4,1.18,21,24,-3,-0.21,-0.16,15.7,26.7,-11,-0.78,-0.89
João Pedro,BRA,"FW,MF",Brighton,22,2001,26,14,"1,598",17.8,8,2,10,4,4,4,2,0,9,5.8,2.7,8.6,60,72,172,0.45,0.11,0.56,0.23,0.34,0.51,0.15,0.66,0.33,0.48,0,0,17,55,10,22,10,14,2,0,0,54,34,21,61.8,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",63,56.8,84,6,12,36,0,1.37,30,31,-1,-0.05,0.02,29.9,27.3,2.6,0.14,0.28
Joelinton,BRA,"MF,FW",Newcastle Utd,27,1996,16,14,"1,133",12.6,2,1,3,2,0,0,5,0,2.3,2.3,2,4.3,21,47,58,0.16,0.08,0.24,0.16,0.24,0.18,0.16,0.34,0.18,0.34,0,0,26,21,0,1,17,22,0,0,0,74,13,28,31.7,"£ 85,000 (€ 98,769, $105,302)","£ 4,420,000 (€ 5,135,973, $5,475,689)",71,38.1,79,8,2,12,0,1.38,21,19,2,0.16,-0.48,21.5,22.8,-1.3,-0.1,-0.5
Ryan John Giles,ENG,"DF,MF",Luton Town,24,2000,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,17,30,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,0,0,2,2,0,49,4,6,0,0,0,21,3,0,100,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",46,16.4,81,2,6,17,9,0.64,5,14,-9,-1.61,-0.94,5.3,13.3,-8.1,-1.44,-0.59
Ben Johnson,ENG,"DF,FW",West Ham,24,2000,14,4,544,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,17,22,33,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0,0,3,7,1,31,5,7,0,0,0,49,7,12,36.8,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",39,17.8,90,4,10,18,7,1.14,5,16,-11,-1.82,-1.89,7.4,12.5,-5.1,-0.85,-0.47
Brennan Johnson,WAL,FW,Tottenham,22,2001,26,18,"1,588",17.6,5,7,12,5,0,0,3,0,7.8,7.8,5.4,13.3,73,58,212,0.28,0.4,0.68,0.28,0.68,0.44,0.31,0.75,0.44,0.75,0,0,14,25,9,48,8,13,0,0,0,68,4,12,25,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",61,55.1,76,4,8,27,0,1.69,40,27,13,0.74,0.53,30.4,30.4,0.1,0,-0.18
Joseph Johnson,ENG,DF,Luton Town,18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,0.1,,0,1,3,14,0,0,1,-1,-30,-29.21,0,0.8,-0.8,-23.74,-22.81
Sam Johnstone,ENG,GK,Crystal Palace,31,1993,20,20,"1,796",20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,13,2,1,66.7,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",90,58.7,90,19,0,,4,1.05,21,27,-6,-0.3,0.13,25.2,26.3,-1.1,-0.05,0.39
