Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Ezri Konsa,ENG,DF,Aston Villa,26,1997,31,31,"2,710",30.1,1,0,1,1,0,0,5,0,2.4,2.4,0.5,2.9,34,126,30,0.03,0,0.03,0.03,0.03,0.08,0.02,0.1,0.08,0.1,0,0,12,58,0,16,27,26,1,0,0,131,24,13,64.9,"£ 75,000 (€ 87,149, $92,913)","£ 3,900,000 (€ 4,531,741, $4,831,490)",87,88.6,87,27,0,,0,1.94,63,43,20,0.66,0.41,50,43.9,6.1,0.2,0.05
Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,34,1989,11,2,209,2.3,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,5,5,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,0,0,6,2,0,0,2,5,0,0,0,14,10,10,50,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",19,6.8,64,0,9,9,16,1.18,1,6,-5,-2.15,-1.74,1.4,5.9,-4.5,-1.92,-1.93
Mateo Kova?i?,CRO,MF,Manchester City,29,1994,24,12,"1,154",12.8,1,0,1,1,0,0,3,0,1.2,1.2,1.5,2.6,30,81,30,0.08,0,0.08,0.08,0.08,0.09,0.11,0.21,0.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emil Krafth,SWE,DF,Newcastle Utd,29,1994,11,3,418,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.8,1,8,19,27,0,0,0,0,0,0.04,0.18,0.22,0.04,0.22,0,0,6,4,0,14,5,10,0,0,0,26,7,9,43.8,"£ 55,000 (€ 63,909, $68,136)","£ 2,860,000 (€ 3,323,277, $3,543,093)",42,17.1,90,4,8,19,11,1.58,11,8,3,0.53,0.09,11.4,7.6,3.8,0.67,0.56
Dejan Kulusevski,SWE,"FW,MF",Tottenham,23,2000,30,26,"2,322",25.8,6,3,9,6,0,0,6,0,3.6,3.6,6.9,10.4,133,122,323,0.23,0.12,0.35,0.23,0.35,0.14,0.27,0.4,0.14,0.4,0,0,45,21,10,72,14,27,0,1,0,118,5,11,31.3,"£ 110,000 (€ 127,818, $136,273)","£ 5,720,000 (€ 6,646,553, $7,086,185)",77,80.6,86,18,4,24,0,1.87,51,35,16,0.62,0.62,45.3,40.5,4.9,0.19,0.55
Adam Lallana,ENG,MF,Brighton,35,1988,23,11,749,8.3,0,1,1,0,0,0,2,0,0.5,0.5,1.7,2.2,9,38,53,0,0.12,0.12,0,0.12,0.06,0.2,0.26,0.06,0.26,0,0,8,11,2,6,3,3,0,0,0,22,3,5,37.5,"£ 90,000 (€ 104,579, $111,496)","£ 4,680,000 (€ 5,438,089, $5,797,788)",33,26.7,53,0,12,13,5,1.29,12,13,-1,-0.11,-0.07,9.3,11.4,-2.1,-0.24,-0.35
Tariq Lamptey,GHA,"DF,FW",Brighton,23,2000,16,9,769,8.5,0,3,3,0,0,0,3,0,0.4,0.4,0.6,1.1,30,14,51,0,0.35,0.35,0,0.35,0.05,0.07,0.13,0.05,0.13,0,0,9,14,3,24,5,12,0,1,0,27,4,5,44.4,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",48,25.9,65,1,7,26,0,1.5,12,16,-4,-0.47,-0.55,9.7,11.4,-1.7,-0.2,-0.29
Aymeric Laporte,ESP,DF,Manchester City,29,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,12,0.4,,0,1,12,0,3,0,0,0,0,-1.46,0.1,0.1,0.1,0.57,-0.56
Yasser Larouci,ALG,DF,Sheffield Utd,23,2001,10,5,477,5.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,17,12,11,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,0,0,5,4,1,6,7,8,0,0,0,32,1,4,20,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",48,15.6,63,0,5,33,20,0.2,5,10,-5,-0.94,0.94,3.7,11.7,-7.9,-1.5,-0.61
Jamaal Lascelles,ENG,DF,Newcastle Utd,30,1993,16,13,"1,080",12,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,8,31,3,0.08,0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,0,0,17,2,1,1,5,9,0,0,0,53,47,24,66.2,"£ 40,000 (€ 46,479, $49,554)","£ 2,080,000 (€ 2,416,928, $2,576,795)",68,36.4,80,9,3,15,10,1.44,23,15,8,0.67,0.33,24.5,17.5,7.1,0.59,0.6
Roméo Lavia,BEL,MF,Chelsea,20,2004,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",33,1.1,,0,1,33,1,3,1,0,1,2.73,2.63,1.6,0.3,1.3,3.63,3.26
Mario Lemina,GAB,MF,Wolves,30,1993,30,29,"2,563",28.5,4,0,4,4,0,0,11,1,4.4,4.4,0.8,5.2,30,64,46,0.14,0,0.14,0.14,0.14,0.15,0.03,0.18,0.15,0.18,1,1,39,20,8,13,38,53,0,0,0,183,32,37,46.4,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",86,86.7,87,23,1,40,0,1.19,40,46,-6,-0.2,0.24,37.2,49.3,-12.1,-0.41,-0.15
Clément Lenglet,FRA,DF,Aston Villa,28,1995,13,13,"1,063",11.8,0,1,1,0,0,0,2,0,0.9,0.9,0.8,1.6,26,50,1,0,0.08,0.08,0,0.08,0.07,0.06,0.14,0.07,0.14,0,0,3,10,0,3,6,9,0,0,0,32,15,11,57.7,"£ 150,000 (€ 174,298, $185,827)","£ 7,800,000 (€ 9,063,481, $9,662,980)",82,34.7,82,10,0,,17,1.38,22,22,0,0,-0.95,19.6,20.9,-1.3,-0.11,-0.47
Bernd Leno,GER,GK,Fulham,32,1992,34,34,"3,060",34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,55,8,1,88.9,"£ 130,000 (€ 151,058, $161,050)","£ 6,760,000 (€ 7,855,017, $8,374,583)",90,100,90,34,0,,0,1.24,50,54,-4,-0.12,,47.2,56.1,-8.9,-0.26,
Jefferson Lerma,COL,"MF,DF",Crystal Palace,29,1994,27,27,"2,385",26.5,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,14,105,50,0.04,0.04,0.08,0.04,0.08,0.1,0.08,0.18,0.1,0.18,0,0,43,25,4,14,36,24,0,0,0,174,68,33,67.3,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",88,77.9,88,22,0,,0,1,32,46,-14,-0.53,-0.79,31.5,37.5,-6,-0.23,-0.04
Rico Lewis,ENG,"DF,MF",Manchester City,19,2004,14,8,788,8.8,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,19,31,42,0.23,0,0.23,0.23,0.23,0.07,0.13,0.2,0.07,0.2,0,0,6,19,0,1,4,7,0,0,0,42,0,6,0,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",53,26.9,83,4,7,20,18,2.2,25,9,16,1.8,0.47,18.3,9,9.3,1.04,-0.12
Keane Lewis-Potter,ENG,"DF,FW",Brentford,23,2001,27,13,"1,291",14.3,3,1,4,3,0,0,0,0,5.6,5.6,1.7,7.3,47,31,117,0.21,0.07,0.28,0.21,0.28,0.39,0.12,0.51,0.39,0.51,0,0,7,15,3,48,6,7,0,0,0,53,13,20,39.4,"£ 35,000 (€ 40,669, $43,360)","£ 1,820,000 (€ 2,114,812, $2,254,695)",48,42.2,80,2,14,18,2,0.89,24,29,-5,-0.35,-0.25,24.9,19.8,5.1,0.36,0.38
Victor Lindelöf,SWE,DF,Manchester Utd,29,1994,19,14,"1,328",14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07,0,0,15,2,3,1,12,10,0,0,0,75,17,24,41.5,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",70,44.7,82,7,5,37,2,1.95,18,16,2,0.14,0.19,24.7,26,-1.3,-0.09,0.37
Valentino Livramento,ENG,DF,Newcastle Utd,21,2002,23,9,"1,044",11.6,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,33,36,56,0.09,0,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06,0,0,3,24,1,18,19,10,0,0,0,65,11,4,73.3,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",45,35.2,82,5,14,22,7,1.65,21,24,-3,-0.26,-1.1,21,24.6,-3.6,-0.31,-0.8
Giovani Lo Celso,ARG,MF,Tottenham,28,1996,17,4,473,5.3,2,2,4,2,0,0,2,0,0.5,0.5,1.7,2.2,22,55,24,0.38,0.38,0.76,0.38,0.76,0.09,0.33,0.42,0.09,0.42,0,0,11,23,0,7,5,12,0,1,0,42,1,5,16.7,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",28,16.4,78,0,13,13,6,1.53,11,11,0,0,-0.6,11,10.8,0.1,0.03,-0.07
Tom Lockyer,WAL,DF,Luton Town,29,1994,14,14,"1,169",13,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,0,0,15,10,0,1,23,16,0,1,1,89,31,16,66,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",84,38.2,84,10,0,,0,0.64,12,23,-11,-0.85,-0.04,12.7,27,-14.3,-1.1,-0.24
Sean Longstaff,ENG,MF,Newcastle Utd,26,1997,29,24,"2,259",25.1,4,2,6,4,0,0,6,0,4.4,4.4,1.8,6.2,15,115,91,0.16,0.08,0.24,0.16,0.24,0.17,0.07,0.25,0.17,0.25,0,0,21,33,2,22,15,28,0,0,0,106,14,20,41.2,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",78,79.1,89,23,5,24,0,1.47,59,44,15,0.57,0.57,48.5,44.7,3.8,0.15,-0.28
Max Lowe,ENG,"DF,MF",Sheffield Utd,26,1997,8,3,399,4.4,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,4,9,7,0,0,0,0,0,0.13,0.16,0.29,0.13,0.29,0,0,6,3,1,6,5,10,0,0,0,5,4,9,30.8,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",50,13,71,1,5,37,3,0.88,6,9,-3,-0.68,1.22,5.6,8.5,-2.9,-0.66,0.38
Douglas Luiz,BRA,MF,Aston Villa,25,1998,31,31,"2,660",29.6,9,5,14,5,4,4,10,0,6.8,3.7,4.8,8.5,57,162,47,0.3,0.17,0.47,0.17,0.34,0.23,0.16,0.39,0.12,0.29,0,0,45,37,0,106,19,36,0,0,0,169,23,18,56.1,"£ 75,000 (€ 87,149, $92,913)","£ 3,900,000 (€ 4,531,741, $4,831,490)",86,86.9,86,24,0,,0,1.84,62,47,15,0.51,-0.84,52.1,44.9,7.2,0.24,0.37
Saa Luki?,SRB,MF,Fulham,27,1996,22,12,"1,025",11.4,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,9,37,26,0.09,0,0.09,0.09,0.09,0.14,0.06,0.19,0.14,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,NED,"FW,MF",Chelsea,22,2002,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,8,15,0,0,0,0,0,0.35,0.04,0.39,0.35,0.39,0,0,5,1,0,8,3,2,0,0,0,11,3,5,37.5,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",17,7.3,57,0,11,14,8,1.67,2,5,-3,-1.29,-1.53,4.5,5.2,-0.6,-0.28,-0.73
Alexis Mac Allister,ARG,MF,Liverpool,25,1998,28,26,"2,186",24.3,4,5,9,3,1,1,6,1,2.7,1.9,2.8,4.7,33,177,32,0.16,0.21,0.37,0.12,0.33,0.11,0.12,0.23,0.08,0.19,1,0,46,41,0,28,32,48,0,0,0,180,25,23,52.1,"£ 150,000 (€ 174,298, $185,827)","£ 7,800,000 (€ 9,063,481, $9,662,980)",78,74.4,83,15,2,17,0,2.17,51,28,23,0.91,-1.16,55.9,29.8,26.1,1.03,-0.14
James Maddison,ENG,MF,Tottenham,27,1996,22,22,"1,751",19.5,4,7,11,4,0,0,4,0,4.7,4.7,4.5,9.2,54,185,123,0.21,0.36,0.57,0.21,0.57,0.24,0.23,0.47,0.24,0.47,0,0,18,62,2,101,11,16,0,0,0,45,3,6,33.3,"£ 170,000 (€ 197,537, $210,603)","£ 8,840,000 (€ 10,271,946, $10,951,377)",80,60.8,80,4,0,,0,2.09,39,24,15,0.77,0.69,31.4,27.1,4.3,0.22,0.36
Noni Madueke,ENG,FW,Chelsea,22,2002,17,7,610,6.8,3,0,3,2,1,1,1,0,1.5,0.7,0.6,1.3,44,23,75,0.44,0,0.44,0.3,0.3,0.21,0.09,0.3,0.1,0.19,0,0,7,13,0,15,2,7,2,0,0,31,2,10,16.7,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",36,21.2,67,0,10,14,10,1.41,15,15,0,0,-0.16,13.6,11.4,2.2,0.32,-0.11
Gabriel Magalhães,BRA,DF,Arsenal,26,1997,32,30,"2,716",30.2,4,0,4,4,0,0,4,0,4,4,0.7,4.6,13,104,8,0.13,0,0.13,0.13,0.13,0.13,0.02,0.15,0.13,0.15,0,0,32,30,1,4,26,25,0,0,1,124,74,56,56.9,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",85,88.8,90,29,2,13,2,2.28,70,23,47,1.56,-0.8,58,21.9,36.2,1.2,-0.68
Harry Maguire,ENG,DF,Manchester Utd,31,1993,20,16,"1,473",16.4,1,2,3,1,0,0,4,0,1.9,1.9,1.2,3.2,14,65,2,0.06,0.12,0.18,0.06,0.18,0.12,0.08,0.19,0.12,0.19,0,0,20,10,6,3,23,17,1,0,0,74,65,19,77.4,"£ 190,000 (€ 220,777, $235,380)","£ 9,880,000 (€ 11,480,410, $12,239,775)",74,52.6,87,16,4,20,3,1.71,32,28,4,0.23,0.42,27.9,34.1,-6.2,-0.36,-0.13
Kobbie Mainoo,ENG,MF,Manchester Utd,19,2005,18,18,"1,435",15.9,2,0,2,2,0,0,3,0,0.3,0.3,0.5,0.8,13,45,21,0.13,0,0.13,0.13,0.13,0.02,0.03,0.05,0.02,0.05,0,0,13,18,0,4,18,21,0,0,0,69,17,22,43.6,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",80,51.3,80,5,0,,5,1.53,30,25,5,0.3,0.54,23.3,34.4,-11.1,-0.65,-0.74
Orel Mangala,BEL,MF,Nott'ham Forest,26,1998,20,19,"1,563",17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,0,0,23,21,0,2,26,13,0,0,0,74,9,3,75,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",78,51.1,82,10,1,4,1,0.85,16,31,-15,-0.86,-0.68,17.3,24.7,-7.4,-0.43,-0.63
Benson Manuel,BEL,"MF,FW",Burnley,27,1997,7,1,97,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,0,14,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,0,0,1,3,0,9,0,2,0,0,0,5,0,4,0,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",14,3.2,45,0,6,9,11,0.14,0,4,-4,-3.71,-2.86,0.5,3.1,-2.6,-2.44,-1.78
Solly March,ENG,"FW,DF",Brighton,29,1994,7,7,554,6.2,3,1,4,3,0,0,1,0,2,2,1,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,0,0,12,8,7,21,11,14,0,0,0,36,6,4,60,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",79,18.7,79,2,0,,1,1.43,13,11,2,0.32,0.47,11.3,10,1.2,0.2,0.22
Anthony Martial,FRA,FW,Manchester Utd,28,1995,13,5,448,5,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,6,12,36,0.2,0,0.2,0.2,0.2,0.25,0.05,0.29,0.25,0.29,0,0,3,6,3,0,0,1,1,0,0,9,8,18,30.8,"£ 250,000 (€ 290,496, $309,711)","£ 13,000,000 (€ 15,105,802, $16,104,967)",34,15.1,65,0,8,16,3,1.38,11,6,5,1,1.15,7.5,8,-0.4,-0.09,0.24
Gabriel Martinelli,BRA,FW,Arsenal,22,2001,31,23,"1,867",20.7,6,4,10,6,0,0,1,0,5.8,5.8,5.4,11.2,110,59,309,0.29,0.19,0.48,0.29,0.48,0.28,0.26,0.55,0.28,0.55,0,0,21,23,9,101,5,21,0,0,0,87,15,26,36.6,"£ 180,000 (€ 209,157, $222,992)","£ 9,360,000 (€ 10,876,178, $11,595,576)",60,61,73,3,8,23,0,2.26,49,20,29,1.4,-0.64,40.5,12.6,27.9,1.34,0.17
Emiliano Martínez,ARG,GK,Aston Villa,31,1992,32,32,"2,880",32,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,46,5,0,100,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",90,94.1,90,32,0,,0,1.97,67,45,22,0.69,1.19,55,47.5,7.5,0.23,0.65
Lisandro Martínez,ARG,DF,Manchester Utd,26,1998,9,7,580,6.4,0,1,1,0,0,0,3,0,0,0,0.1,0.1,8,28,1,0,0.16,0.16,0,0.16,0,0.01,0.01,0,0.01,0,0,6,2,0,2,4,7,0,0,1,31,3,5,37.5,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",64,19.5,76,2,2,25,0,1.56,11,11,0,0,-0.04,10.5,9.7,0.8,0.12,0.52
Han-Noah Massengo,FRA,"MF,DF",Burnley,22,2001,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,"£ 15,000 (€ 17,430, $18,583)","£ 780,000 (€ 906,348, $966,298)",5,0.5,,0,3,5,4,0.33,2,0,2,11.25,12.26,1.1,0.7,0.4,2.43,3.16
Pape Matar Sarr,SEN,MF,Tottenham,21,2002,28,22,"1,652",18.4,3,3,6,3,0,0,6,0,2.9,2.9,2,5,34,120,76,0.16,0.16,0.33,0.16,0.33,0.16,0.11,0.27,0.16,0.27,0,0,22,12,0,21,22,21,0,0,0,121,22,20,52.4,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",59,57.4,70,4,6,19,0,1.96,32,20,12,0.65,0.36,28.5,26.5,2,0.11,0.07
Jean-Philippe Mateta,FRA,FW,Crystal Palace,26,1997,30,20,"1,914",21.3,9,4,13,7,2,2,3,0,7.8,6.3,2.6,8.9,25,21,113,0.42,0.19,0.61,0.33,0.52,0.37,0.12,0.49,0.29,0.42,0,0,35,18,21,18,3,13,2,0,0,74,47,64,42.3,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",65,65.5,85,13,10,21,2,1.06,35,42,-7,-0.31,0.11,27.2,35.4,-8.2,-0.37,-0.44
Joël Matip,CMR,DF,Liverpool,32,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0,0,0,0,0,0.06,0.01,0.06,0.06,0.06,0,0,7,3,1,0,9,6,0,0,1,58,28,10,73.7,"£ 100,000 (€ 116,198, $123,884)","£ 5,200,000 (€ 6,042,321, $6,441,987)",78,25.5,84,6,1,25,4,2.3,20,9,11,1.27,0.08,16.6,11.3,5.3,0.61,-0.61
Alex Matos,ENG,MF,Chelsea,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,,0,1,1,12,3,0,0,0,0,-0.13,0,0,0,0,-0.4
Remi Matthews,ENG,GK,Crystal Palace,30,1994,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,"£ 5,385 (€ 6,257, $6,671)","£ 280,000 (€ 325,356, $346,876)",4,0.1,,0,1,4,24,0,0,1,-1,-22.5,-22.18,0.3,0.1,0.2,5.54,5.76
Neal Maupay,FRA,FW,Brentford,27,1996,28,13,"1,304",14.5,6,3,9,6,0,0,7,0,5.7,5.7,2.3,8.1,20,36,90,0.41,0.21,0.62,0.41,0.62,0.39,0.16,0.56,0.39,0.56,0,0,18,26,4,8,2,7,0,0,0,60,14,41,25.5,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",47,42.6,83,5,15,15,1,1,24,34,-10,-0.69,-0.84,24,24.3,-0.3,-0.02,-0.28
Konstantinos Mavropanos,GRE,DF,West Ham,26,1997,18,15,"1,410",15.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,10,38,2,0.06,0,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,0,0,14,9,0,1,23,14,0,0,2,69,42,23,64.6,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",78,46.1,88,14,3,30,10,1.39,26,24,2,0.13,0.73,23.3,27.5,-4.2,-0.27,0.37
Bryan Mbeumo,CMR,FW,Brentford,24,1999,21,18,"1,600",17.8,8,5,13,5,3,3,1,0,9.2,6.8,4.1,10.9,60,74,161,0.45,0.28,0.73,0.28,0.56,0.52,0.23,0.75,0.38,0.61,0,0,19,36,2,84,6,10,0,0,0,75,18,43,29.5,"£ 45,000 (€ 52,289, $55,748)","£ 2,340,000 (€ 2,719,044, $2,898,894)",76,52.3,86,14,3,17,0,1.33,33,25,8,0.45,1.37,32.6,22.1,10.5,0.59,0.94
James Mcatee,ENG,"MF,FW",Sheffield Utd,21,2002,28,20,"1,772",19.7,3,3,6,2,1,1,2,0,3.1,2.3,2.9,5.2,55,51,108,0.15,0.15,0.3,0.1,0.25,0.16,0.15,0.31,0.12,0.27,0,0,14,29,1,35,11,21,0,0,0,96,10,31,24.4,,,62,58.7,78,7,9,25,0,0.52,19,65,-46,-2.3,-1.38,21.7,39.5,-17.8,-0.89,0.23
Oliver McBurnie,SCO,FW,Sheffield Utd,27,1996,21,15,"1,280",14.2,6,3,9,4,2,2,7,2,6.9,5.3,2,7.3,6,30,60,0.42,0.21,0.63,0.28,0.49,0.48,0.14,0.62,0.37,0.51,2,2,19,27,4,5,5,7,1,0,0,41,110,113,49.3,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",61,41.8,75,6,6,25,2,0.29,20,40,-20,-1.41,0.57,18.2,25.8,-7.6,-0.53,0.78
James McConnell,ENG,MF,Liverpool,19,2004,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,,,1,0.1,,0,3,1,15,3,1,0,1,22.5,21.32,0.2,0,0.2,3.67,2.61
John McGinn,SCO,"MF,FW",Aston Villa,29,1994,31,31,"2,643",29.4,6,4,10,6,0,0,7,1,4.4,4.4,4.3,8.7,52,173,80,0.2,0.14,0.34,0.2,0.34,0.15,0.15,0.3,0.15,0.3,1,0,37,59,1,67,21,32,0,0,0,146,9,16,36,"£ 120,000 (€ 139,438, $148,661)","£ 6,240,000 (€ 7,250,785, $7,730,384)",85,86.4,85,21,0,,0,2,63,41,22,0.75,0.96,51.4,40.2,11.2,0.38,1.38
Scott McKenna,SCO,DF,Nott'ham Forest,27,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,0,0,3,2,0,0,5,0,0,0,0,25,20,3,87,"£ 20,000 (€ 23,240, $24,777)","£ 1,040,000 (€ 1,208,464, $1,288,397)",83,13.6,83,4,0,,1,1.4,7,6,1,0.22,0.86,5,5.7,-0.7,-0.14,-0.03
Dwight McNeil,ENG,"MF,FW",Everton,24,1999,30,28,"2,464",27.4,3,5,8,3,0,0,2,0,3.1,3.1,7.8,10.9,72,103,132,0.11,0.18,0.29,0.11,0.29,0.11,0.28,0.4,0.11,0.4,0,0,17,27,4,204,19,23,0,0,0,160,15,19,44.1,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",82,83.5,87,21,2,22,0,1.32,33,36,-3,-0.11,1.5,38.4,39.6,-1.2,-0.04,-0.04
Scott McTominay,SCO,"MF,FW",Manchester Utd,27,1996,27,15,"1,579",17.5,7,1,8,7,0,0,2,0,5.1,5.1,0.7,5.8,20,54,37,0.4,0.06,0.46,0.4,0.46,0.29,0.04,0.33,0.29,0.33,0,0,26,16,6,4,12,22,0,1,0,78,30,38,44.1,"£ 60,000 (€ 69,719, $74,331)","£ 3,120,000 (€ 3,625,393, $3,865,192)",57,54.1,88,13,13,22,2,1.82,25,26,-1,-0.06,-0.19,27.9,33.3,-5.4,-0.3,-0.02
Ben Mee,ENG,DF,Brentford,34,1989,16,15,"1,272",14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,1,0,7,3,1,5,13,15,0,0,0,67,35,32,52.2,"£ 55,000 (€ 63,909, $68,136)","£ 2,860,000 (€ 3,323,277, $3,543,093)",80,41.6,85,11,1,1,2,0.81,16,26,-10,-0.71,-0.86,18.6,23.8,-5.2,-0.37,-0.87
